time,open,high,low,close,tick_volume,spread,real_volume,rsi,macd,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,sma_20,sma_50,ema_12,ema_26,atr,adx,target,signal,returns,equity
2026-02-18 18:15:00,4999.43,4999.95,4991.32,4996.75,3961,30,0,84.12115067798787,20.498385153578056,17.29137976930039,3.2070053842776645,4962.867,5027.897994424081,4897.836005575919,81.68159052967094,86.02702867178759,4962.867,4940.9848,4984.003220848102,4963.5048356945235,11.58071428571436,,1,-1,-0.0005380602627493847,10107.232449654475
2026-02-18 18:30:00,4996.72,5006.56,4994.4,5005.35,4587,30,0,82.81442874777153,20.682863222694323,17.96967645997918,2.713186762715143,4967.575,5030.451455806066,4904.698544193933,94.20507682030839,88.08586903235523,4967.575,4942.5212,4987.287340717624,4966.60447749493,11.313571428571517,,0,1,-0.0017211187271728434,10090.021262382746
2026-02-18 18:45:00,5005.38,5010.75,4999.57,5000.33,4254,30,0,78.90747516988992,20.191239336986655,18.413989035380677,1.777250301605978,4971.947,5030.847512766919,4913.046487233081,83.14188642614462,86.342851258708,4971.947,4943.8688,4989.2939036841435,4969.102664347157,11.62714285714297,,0,0,-0.0010029268682510972,10079.991993700238
2026-02-18 19:00:00,5000.51,5001.43,4996.0,4998.92,3789,30,0,77.68914050437456,19.46348570189457,18.623888368683456,0.8395973332111133,4975.808999999999,5030.833406029896,4920.784593970103,80.86070215175563,86.0692217994029,4975.808999999999,4945.1814,4990.774841578891,4971.3113558769965,10.813571428571581,,1,0,-0.0,10079.991993700238
2026-02-18 19:15:00,4998.93,5000.57,4997.4,4999.26,2516,30,0,79.44524401413061,18.698624754720186,18.638835645890804,0.05978910882938138,4979.721,5029.188788519886,4930.253211480113,80.37239494362865,81.45832784050964,4979.721,4946.488399999999,4992.080250566753,4973.381625812033,10.492857142857247,,0,-1,0.0,10079.991993700238
2026-02-18 19:30:00,4999.3,4999.87,4993.31,4997.57,2611,40,0,76.50236326806173,17.75147016927349,18.46136255056734,-0.7098923812938516,4983.1495,5027.001931235438,4939.297068764563,76.25225225225172,79.16178311587868,4983.1495,4947.7786,4992.924827402638,4975.173357233364,10.332142857142896,,1,-1,0.0003380500314047463,10083.372494014284
2026-02-18 19:45:00,4997.58,5000.65,4997.13,4999.1,1542,36,0,76.24573378839575,16.92915281407386,18.154920603268646,-1.2257677891947871,4985.9595,5025.988157878757,4945.930842121243,78.93690110287551,78.5205160995853,4985.9595,4949.0556,4993.874853956078,4976.9457011420045,9.99785714285716,,0,-1,-0.00030614878831114467,10080.311006131173
2026-02-18 20:00:00,4999.09,5003.1,4997.68,4997.92,2731,30,0,65.22552872917817,15.99783120741813,17.723502724098545,-1.7256715166804142,4987.9805,5025.989683087026,4949.971316912974,57.85151116951348,71.0135548415469,4987.9805,4950.3198,4994.497184116682,4978.4993529092635,8.196428571428571,,0,0,0.0002360424876478584,10082.67143100765
2026-02-18 20:15:00,4997.89,4999.18,4986.64,4988.0,3454,30,0,46.56917885264369,14.294512783885693,17.037704736055975,-2.7431919521702817,4989.576,5024.502688573819,4954.649311426181,5.64081294068723,47.47640840435874,4989.576,4951.4151999999995,4993.4976173295,4979.203104545614,8.098571428571436,,0,0,-0.0,10082.67143100765
2026-02-18 20:30:00,4988.23,4992.88,4980.41,4983.07,4748,30,0,27.420755536257943,12.40382726363714,16.110929241572208,-3.707101977935068,4990.9355,5022.271849483356,4959.599150516643,8.767303889254586,24.0865426664851,4990.9355,4952.5434,4991.893368509576,4979.489541245939,7.801428571428589,,1,0,-0.0,10082.67143100765
